Question,Relationship,Norm,Role,UK Full (N = 910),USA Full (N = 862),USA Pilot (N = 432)
(a) How should social AIs treat humans?,Romantic partner,Transaction,AI in role,"2.12 [1.92, 2.27]","2.27 [2.03, 2.49]","2.23 [1.92, 2.46]"
(a) How should social AIs treat humans?,Seller / customer,Care,Human in role,"1.99 [1.76, 2.18]","2.22 [2.00, 2.42]","2.23 [1.88, 2.53]"
(a) How should social AIs treat humans?,Seller / customer,Care,AI in role,"1.66 [1.44, 1.88]","1.94 [1.67, 2.21]","2.44 [2.07, 2.70]"
(a) How should social AIs treat humans?,Seller / customer,Hierarchy,Human in role,"1.84 [1.65, 1.99]","2.32 [2.11, 2.52]","2.05 [1.73, 2.32]"
(a) How should social AIs treat humans?,Seller / customer,Hierarchy,AI in role,"1.96 [1.76, 2.14]","2.20 [1.93, 2.42]","2.04 [1.71, 2.30]"
(a) How should social AIs treat humans?,Seller / customer,Mating,Human in role,"0.85 [0.62, 1.11]","1.72 [1.34, 2.15]","1.68 [1.21, 2.10]"
(a) How should social AIs treat humans?,Seller / customer,Mating,AI in role,"1.23 [0.93, 1.55]","1.33 [1.00, 1.67]","1.26 [0.76, 1.77]"
(a) How should social AIs treat humans?,Seller / customer,Transaction,Human in role,"1.97 [1.68, 2.19]","1.52 [1.25, 1.77]","1.27 [0.84, 1.73]"
(a) How should social AIs treat humans?,Seller / customer,Transaction,AI in role,"2.39 [2.16, 2.60]","2.53 [2.27, 2.75]","2.66 [2.22, 2.96]"
(a) How should social AIs treat humans?,Assistant / supervisor,Care,Human in role,"1.71 [1.53, 1.89]","1.89 [1.68, 2.07]","1.81 [1.51, 2.07]"
(a) How should social AIs treat humans?,Assistant / supervisor,Care,AI in role,"1.20 [0.94, 1.44]","1.35 [1.06, 1.63]","1.49 [1.05, 1.95]"
(a) How should social AIs treat humans?,Assistant / supervisor,Hierarchy,Human in role,"1.68 [1.41, 1.97]","2.15 [1.80, 2.48]","1.61 [1.13, 2.02]"
(a) How should social AIs treat humans?,Assistant / supervisor,Hierarchy,AI in role,"1.44 [1.14, 1.74]","1.60 [1.27, 1.92]","1.70 [1.20, 2.23]"
(a) How should social AIs treat humans?,Assistant / supervisor,Mating,Human in role,"1.13 [0.86, 1.43]","1.40 [1.05, 1.79]","1.23 [0.78, 1.71]"
(a) How should social AIs treat humans?,Assistant / supervisor,Mating,AI in role,"0.99 [0.70, 1.30]","1.34 [1.01, 1.68]","0.85 [0.44, 1.32]"
(a) How should social AIs treat humans?,Assistant / supervisor,Transaction,Human in role,"1.88 [1.69, 2.06]","2.22 [1.98, 2.42]","2.03 [1.73, 2.35]"
(a) How should social AIs treat humans?,Assistant / supervisor,Transaction,AI in role,"2.27 [2.04, 2.47]","2.47 [2.25, 2.63]","2.38 [2.02, 2.68]"
(a) How should social AIs treat humans?,Teacher / student,Care,Human in role,"1.13 [0.90, 1.32]","1.27 [1.08, 1.48]","1.09 [0.89, 1.29]"
(a) How should social AIs treat humans?,Teacher / student,Care,AI in role,"0.96 [0.78, 1.16]","0.85 [0.66, 1.06]","1.30 [0.99, 1.58]"
(a) How should social AIs treat humans?,Teacher / student,Hierarchy,Human in role,"1.13 [0.93, 1.35]","1.43 [1.18, 1.72]","1.21 [0.82, 1.55]"
(a) How should social AIs treat humans?,Teacher / student,Hierarchy,AI in role,"2.45 [2.25, 2.61]","2.51 [2.28, 2.71]","2.26 [1.89, 2.62]"
(a) How should social AIs treat humans?,Teacher / student,Mating,Human in role,"0.26 [0.11, 0.44]","0.71 [0.43, 1.02]","0.70 [0.31, 1.17]"
(a) How should social AIs treat humans?,Teacher / student,Mating,AI in role,"0.94 [0.69, 1.19]","1.11 [0.79, 1.46]","0.92 [0.52, 1.39]"
(a) How should social AIs treat humans?,Teacher / student,Transaction,Human in role,"1.95 [1.77, 2.12]","2.29 [2.07, 2.47]","2.14 [1.80, 2.40]"
(a) How should social AIs treat humans?,Teacher / student,Transaction,AI in role,"2.12 [1.94, 2.29]","2.49 [2.23, 2.71]","2.41 [2.09, 2.66]"
(a) How should social AIs treat humans?,Mental health provider / patient,Care,Human in role,"0.94 [0.67, 1.21]","1.51 [1.22, 1.77]","2.04 [1.66, 2.35]"
(a) How should social AIs treat humans?,Mental health provider / patient,Care,AI in role,"0.49 [0.34, 0.66]","0.86 [0.64, 1.11]","0.88 [0.59, 1.21]"
(a) How should social AIs treat humans?,Mental health provider / patient,Hierarchy,Human in role,"1.99 [1.75, 2.24]","2.11 [1.88, 2.34]","2.06 [1.72, 2.39]"
(a) How should social AIs treat humans?,Mental health provider / patient,Hierarchy,AI in role,"2.18 [1.97, 2.32]","2.41 [2.15, 2.59]","2.43 [2.13, 2.60]"
(a) How should social AIs treat humans?,Mental health provider / patient,Mating,Human in role,"0.45 [0.24, 0.70]","0.74 [0.47, 1.03]","0.47 [0.20, 0.80]"
(a) How should social AIs treat humans?,Mental health provider / patient,Mating,AI in role,"0.89 [0.63, 1.18]","1.02 [0.74, 1.33]","0.93 [0.54, 1.37]"
(a) How should social AIs treat humans?,Mental health provider / patient,Transaction,Human in role,"2.15 [1.91, 2.32]","2.46 [2.25, 2.63]","2.38 [2.09, 2.62]"
(a) How should social AIs treat humans?,Mental health provider / patient,Transaction,AI in role,"2.03 [1.78, 2.24]","2.26 [2.02, 2.49]","2.06 [1.69, 2.32]"
(a) How should social AIs treat humans?,Coworker,Care,Human in role,"1.34 [1.19, 1.49]","1.55 [1.37, 1.70]","1.42 [1.21, 1.62]"
(a) How should social AIs treat humans?,Coworker,Care,AI in role,"1.13 [0.91, 1.30]","1.15 [0.91, 1.36]","1.44 [1.12, 1.69]"
(a) How should social AIs treat humans?,Coworker,Hierarchy,Human in role,"1.97 [1.80, 2.13]","2.31 [2.08, 2.47]","1.95 [1.64, 2.22]"
(a) How should social AIs treat humans?,Coworker,Hierarchy,AI in role,"1.77 [1.59, 1.96]","2.05 [1.77, 2.29]","1.93 [1.61, 2.16]"
(a) How should social AIs treat humans?,Coworker,Mating,Human in role,"2.00 [1.80, 2.19]","2.36 [2.14, 2.54]","2.52 [2.16, 2.74]"
(a) How should social AIs treat humans?,Coworker,Mating,AI in role,"1.01 [0.75, 1.28]","1.71 [1.35, 2.09]","1.32 [0.86, 1.82]"
(a) How should social AIs treat humans?,Coworker,Transaction,Human in role,"1.75 [1.56, 1.93]","1.91 [1.72, 2.11]","1.65 [1.38, 1.92]"
(a) How should social AIs treat humans?,Coworker,Transaction,AI in role,"2.23 [2.02, 2.43]","2.40 [2.20, 2.59]","2.42 [2.10, 2.70]"
(b) How should humans treat social AIs?,Friend,Care,Human in role,"0.64 [0.50, 0.80]","0.73 [0.55, 0.93]","0.50 [0.32, 0.71]"
(b) How should humans treat social AIs?,Friend,Care,AI in role,"1.67 [1.47, 1.89]","1.98 [1.76, 2.18]","1.80 [1.47, 2.06]"
(b) How should humans treat social AIs?,Friend,Hierarchy,Human in role,"1.40 [1.14, 1.60]","1.44 [1.13, 1.75]","1.46 [1.04, 1.90]"
(b) How should humans treat social AIs?,Friend,Hierarchy,AI in role,"2.39 [2.16, 2.60]","2.42 [2.18, 2.64]","2.34 [2.03, 2.62]"
(b) How should humans treat social AIs?,Friend,Mating,Human in role,"1.88 [1.67, 2.04]","2.14 [1.92, 2.36]","2.10 [1.79, 2.41]"
(b) How should humans treat social AIs?,Friend,Mating,AI in role,"1.32 [1.05, 1.60]","1.71 [1.36, 2.07]","1.78 [1.33, 2.18]"
(b) How should humans treat social AIs?,Friend,Transaction,Human in role,"2.14 [1.94, 2.30]","2.42 [2.19, 2.60]","2.29 [1.96, 2.53]"
(b) How should humans treat social AIs?,Friend,Transaction,AI in role,"2.09 [1.88, 2.30]","2.34 [2.12, 2.54]","2.29 [2.01, 2.54]"
(b) How should humans treat social AIs?,Romantic partner,Care,Human in role,"0.49 [0.33, 0.67]","0.40 [0.25, 0.58]","0.52 [0.27, 0.80]"
(b) How should humans treat social AIs?,Romantic partner,Care,AI in role,"2.07 [1.83, 2.28]","2.27 [2.05, 2.46]","1.86 [1.53, 2.12]"
(b) How should humans treat social AIs?,Romantic partner,Hierarchy,Human in role,"1.27 [1.01, 1.55]","1.84 [1.49, 2.15]","1.78 [1.30, 2.17]"
(b) How should humans treat social AIs?,Romantic partner,Hierarchy,AI in role,"2.32 [2.11, 2.53]","2.47 [2.22, 2.68]","2.39 [2.08, 2.68]"
(b) How should humans treat social AIs?,Romantic partner,Mating,Human in role,"0.53 [0.34, 0.75]","0.54 [0.32, 0.80]","0.49 [0.25, 0.79]"
(b) How should humans treat social AIs?,Romantic partner,Mating,AI in role,"2.77 [2.55, 2.93]","3.02 [2.74, 3.17]","2.84 [2.53, 3.12]"
(b) How should humans treat social AIs?,Romantic partner,Transaction,Human in role,"2.31 [2.08, 2.45]","2.33 [2.04, 2.56]","2.20 [1.78, 2.50]"
(b) How should humans treat social AIs?,Romantic partner,Transaction,AI in role,"2.14 [1.93, 2.33]","2.35 [2.13, 2.54]","2.08 [1.78, 2.34]"
(b) How should humans treat social AIs?,Seller / customer,Care,Human in role,"2.00 [1.77, 2.22]","2.21 [1.99, 2.44]","2.10 [1.76, 2.43]"
(b) How should humans treat social AIs?,Seller / customer,Care,AI in role,"1.97 [1.77, 2.17]","2.38 [2.17, 2.58]","2.35 [1.99, 2.62]"
(b) How should humans treat social AIs?,Seller / customer,Hierarchy,Human in role,"1.69 [1.52, 1.85]","2.20 [1.98, 2.39]","1.80 [1.55, 2.05]"
(b) How should humans treat social AIs?,Seller / customer,Hierarchy,AI in role,"1.88 [1.68, 2.08]","2.23 [2.01, 2.43]","2.07 [1.72, 2.36]"
(b) How should humans treat social AIs?,Seller / customer,Mating,Human in role,"1.10 [0.83, 1.40]","1.69 [1.31, 2.09]","1.56 [1.09, 2.05]"
(b) How should humans treat social AIs?,Seller / customer,Mating,AI in role,"1.10 [0.83, 1.37]","1.24 [0.94, 1.54]","1.56 [1.04, 2.12]"
(b) How should humans treat social AIs?,Seller / customer,Transaction,Human in role,"2.09 [1.85, 2.30]","1.43 [1.17, 1.65]","1.35 [0.91, 1.81]"
(b) How should humans treat social AIs?,Seller / customer,Transaction,AI in role,"2.08 [1.83, 2.27]","2.06 [1.83, 2.27]","2.40 [2.01, 2.69]"
(b) How should humans treat social AIs?,Assistant / supervisor,Care,Human in role,"1.61 [1.43, 1.79]","1.77 [1.58, 1.96]","1.56 [1.31, 1.79]"
(b) How should humans treat social AIs?,Assistant / supervisor,Care,AI in role,"1.99 [1.76, 2.22]","2.17 [1.96, 2.36]","2.29 [1.96, 2.58]"
(b) How should humans treat social AIs?,Assistant / supervisor,Hierarchy,Human in role,"1.24 [1.04, 1.47]","1.31 [1.08, 1.54]","1.19 [0.82, 1.56]"
(b) How should humans treat social AIs?,Assistant / supervisor,Hierarchy,AI in role,"1.42 [1.17, 1.65]","1.30 [1.03, 1.54]","1.28 [0.90, 1.62]"
(b) How should humans treat social AIs?,Assistant / supervisor,Mating,Human in role,"1.01 [0.75, 1.29]","1.35 [0.97, 1.74]","1.03 [0.61, 1.50]"
(b) How should humans treat social AIs?,Assistant / supervisor,Mating,AI in role,"0.95 [0.67, 1.25]","1.39 [1.05, 1.74]","0.67 [0.33, 1.08]"
(b) How should humans treat social AIs?,Assistant / supervisor,Transaction,Human in role,"1.93 [1.71, 2.10]","2.32 [2.07, 2.52]","2.12 [1.80, 2.41]"
(b) How should humans treat social AIs?,Assistant / supervisor,Transaction,AI in role,"2.13 [1.92, 2.34]","2.34 [2.13, 2.53]","2.40 [2.08, 2.68]"
(b) How should humans treat social AIs?,Teacher / student,Care,Human in role,"1.76 [1.56, 1.97]","1.89 [1.69, 2.07]","1.82 [1.49, 2.11]"
(b) How should humans treat social AIs?,Teacher / student,Care,AI in role,"1.82 [1.62, 1.99]","2.08 [1.83, 2.29]","2.11 [1.76, 2.37]"
(b) How should humans treat social AIs?,Teacher / student,Hierarchy,Human in role,"1.28 [0.97, 1.60]","1.56 [1.21, 1.95]","1.26 [0.75, 1.82]"
(b) How should humans treat social AIs?,Teacher / student,Hierarchy,AI in role,"2.25 [2.06, 2.44]","2.57 [2.36, 2.76]","2.15 [1.85, 2.43]"
(b) How should humans treat social AIs?,Teacher / student,Mating,Human in role,"0.35 [0.16, 0.57]","0.71 [0.44, 1.00]","0.76 [0.37, 1.23]"
(b) How should humans treat social AIs?,Teacher / student,Mating,AI in role,"0.80 [0.59, 1.04]","1.04 [0.75, 1.36]","1.05 [0.65, 1.51]"
(b) How should humans treat social AIs?,Teacher / student,Transaction,Human in role,"1.90 [1.71, 2.09]","2.22 [1.99, 2.37]","2.25 [1.89, 2.52]"
(b) How should humans treat social AIs?,Teacher / student,Transaction,AI in role,"1.98 [1.78, 2.17]","2.45 [2.24, 2.64]","2.24 [1.93, 2.47]"
(b) How should humans treat social AIs?,Mental health provider / patient,Care,Human in role,"2.32 [2.11, 2.53]","2.04 [1.82, 2.26]","2.08 [1.78, 2.39]"
(b) How should humans treat social AIs?,Mental health provider / patient,Care,AI in role,"2.01 [1.80, 2.22]","2.05 [1.83, 2.26]","2.37 [2.06, 2.63]"
(b) How should humans treat social AIs?,Mental health provider / patient,Hierarchy,Human in role,"1.53 [1.31, 1.72]","1.65 [1.41, 1.89]","1.73 [1.46, 1.93]"
(b) How should humans treat social AIs?,Mental health provider / patient,Hierarchy,AI in role,"1.92 [1.72, 2.09]","2.33 [2.10, 2.56]","2.16 [1.87, 2.43]"
(b) How should humans treat social AIs?,Mental health provider / patient,Mating,Human in role,"0.49 [0.28, 0.73]","0.76 [0.51, 1.05]","0.57 [0.27, 0.93]"
(b) How should humans treat social AIs?,Mental health provider / patient,Mating,AI in role,"0.75 [0.54, 0.98]","1.11 [0.82, 1.44]","0.89 [0.52, 1.29]"
(b) How should humans treat social AIs?,Mental health provider / patient,Transaction,Human in role,"2.00 [1.81, 2.17]","2.50 [2.30, 2.69]","2.15 [1.85, 2.43]"
(b) How should humans treat social AIs?,Mental health provider / patient,Transaction,AI in role,"2.17 [1.98, 2.33]","2.32 [2.10, 2.48]","2.45 [2.14, 2.68]"
(b) How should humans treat social AIs?,Coworker,Care,Human in role,"1.28 [1.13, 1.45]","1.60 [1.43, 1.76]","1.58 [1.34, 1.80]"
(b) How should humans treat social AIs?,Coworker,Care,AI in role,"1.87 [1.66, 2.07]","1.85 [1.64, 2.02]","2.08 [1.77, 2.36]"
(b) How should humans treat social AIs?,Coworker,Hierarchy,Human in role,"2.09 [1.91, 2.24]","2.33 [2.11, 2.52]","2.09 [1.79, 2.33]"
(b) How should humans treat social AIs?,Coworker,Hierarchy,AI in role,"1.88 [1.67, 2.08]","2.24 [2.01, 2.44]","2.13 [1.81, 2.45]"
(b) How should humans treat social AIs?,Coworker,Mating,Human in role,"2.00 [1.78, 2.20]","2.42 [2.18, 2.62]","2.57 [2.21, 2.79]"
(b) How should humans treat social AIs?,Coworker,Mating,AI in role,"0.99 [0.74, 1.26]","1.61 [1.26, 1.98]","1.22 [0.80, 1.69]"
(b) How should humans treat social AIs?,Coworker,Transaction,Human in role,"1.69 [1.47, 1.87]","1.90 [1.69, 2.09]","1.84 [1.55, 2.11]"
(b) How should humans treat social AIs?,Coworker,Transaction,AI in role,"2.02 [1.81, 2.23]","2.26 [2.02, 2.45]","2.16 [1.84, 2.45]"
